record_id,state_fips,state_abbr,jurisdiction_type,jurisdiction_name,district_type,district_id,district_name,source_url,source_retrieved_at,source_confidence,qa_status,parity_ok,office_name,election_date,geometry_source_url,geometry_id,parent_record_id,notes
TX:municipality:arlington:district:3,48,TX,municipality,Arlington,district,3,District 3,https://www.arlingtontx.gov/Government/City-Government/City-Council/City-Council-District-Map,2026-08-01,high,approved,TRUE,City Council District 3,2026-05-02,https://gis2.arlingtontx.gov/agsext2/rest/services/OpenData/OD_PoliticalBoundary/MapServer/0,arlington-district-3,,"Single-member district; Nikkie Hunter elected in the 2026 bounded contest."
TX:municipality:arlington:district:4,48,TX,municipality,Arlington,district,4,District 4,https://www.arlingtontx.gov/Government/City-Government/City-Council/City-Council-District-Map,2026-08-01,high,approved,TRUE,City Council District 4,2026-05-02,https://gis2.arlingtontx.gov/agsext2/rest/services/OpenData/OD_PoliticalBoundary/MapServer/0,arlington-district-4,,"Single-member district; Tom Ware elected in the 2026 bounded contest."
TX:municipality:arlington:district:5,48,TX,municipality,Arlington,district,5,District 5,https://www.arlingtontx.gov/Government/City-Government/City-Council/City-Council-District-Map,2026-08-01,high,approved,TRUE,City Council District 5,2026-05-02,https://gis2.arlingtontx.gov/agsext2/rest/services/OpenData/OD_PoliticalBoundary/MapServer/0,arlington-district-5,,"Single-member district; Brittney Garcia-Dumas elected in the 2026 bounded contest."
