record_id,state_fips,state_abbr,jurisdiction_type,jurisdiction_name,district_type,district_id,district_name,source_url,source_retrieved_at,source_confidence,qa_status,parity_ok,office_name,election_date,geometry_source_url,geometry_id,parent_record_id,notes
TX:municipality:arlington:district:1,48,TX,municipality,Arlington,district,1,District 1,https://www.arlingtontx.gov/Government/City-Government/City-Council/City-Council-Members,2026-08-01,high,approved,TRUE,City Council District 1,,https://gis2.arlingtontx.gov/agsext2/rest/services/OpenData/OD_PoliticalBoundary/MapServer/0,arlington-district-1,,"Single-member district; current official representative Mauricio Galante was first elected in May 2024."
TX:municipality:arlington:district:2,48,TX,municipality,Arlington,district,2,District 2,https://www.arlingtontx.gov/Government/City-Government/City-Council/City-Council-Members,2026-08-01,high,approved,TRUE,City Council District 2,,https://gis2.arlingtontx.gov/agsext2/rest/services/OpenData/OD_PoliticalBoundary/MapServer/0,arlington-district-2,,"Single-member district; current official representative Raul H. Gonzalez was first elected in November 2020."
