office_name,representation,current_officeholder,first_elected,election_context,source_url
Mayor,citywide,Jim Ross,2021,"Re-elected in May 2026 to a third and final term; represents the City at large.",https://www.arlingtontx.gov/Government/City-Government/City-Council/City-Council-Members
Council At-Large District 6,citywide,Long Pham,2022,"First elected in the June 2022 runoff; at-large and represents the entire city.",https://www.arlingtontx.gov/Government/City-Government/City-Council/City-Council-Members/Council-Member-Long-Pham-District-6
Council At-Large District 7,citywide,Bowie Hogg,2022,"First elected in May 2022; At-Large District 7 represents the entire city.",https://www.arlingtontx.gov/Government/City-Government/City-Council/City-Council-Members
Council At-Large District 8,citywide,Jason Shelton,2026,"Elected in the June 13 2026 runoff; At-Large District 8 represents the entire city.",https://www.arlingtontx.gov/News-Articles/2026/May/Arlington-Voters-Elect-Mayor-District-3-4-5-and-8-Council-Reps
