office_name,officeholder_name,scope_status,reason,source_url
"District Attorney, 83rd Judicial District",Ori White,excluded,multi-county district prosecutor outside bounded county office roster,https://www.co.presidio.tx.us/page/presidio.District.Attorney
Justice of the Peace Precinct 1,Dina Jo Marquez,excluded,judicial office,https://www.co.presidio.tx.us/page/presidio.justice
Justice of the Peace Precinct 2,Juanita Bishop,excluded,judicial office,https://www.co.presidio.tx.us/page/presidio.justice
County Auditor,Alicia Sanchez,excluded,appointed administrative office,https://www.co.presidio.tx.us/page/presidio.CountyAuditor
